character,path,element,signature,version
Bronya,Harmony,Wind,But The Battle Isn't Over,1.0
Gepard,Preservation,Ice,Moment of Victory,1.0
Welt,Nihility,Imaginary,In the Name of the World,1.0
Himeko,Erudition,Fire,Night on the Milky Way,1.0
Bailu,Abundance,Lightning,Time Waits for No One,1.0
Yanqing,The Hunt,Ice,Sleep Like the Dead,1.0
Clara,Destruction,Physical,Something Irreplaceable,1.0
Seele,The Hunt,Quantum,In the Night,1.0
Jing Yuan,Erudition,Lightning,Before Dawn,1.0
Silver Wolf,Nihility,Quantum,Incessant Rain,1.1
Luocha,Abundance,Imaginary,Echoes of the Coffin,1.1
Blade,Destruction,Wind,The Unreachable Side,1.2
Kafka,Nihility,Lightning,Patience Is All You Need,1.2
Dan Heng • Imbibitor Lunae,Destruction,Imaginary,Brighter Than the Sun,1.3
Fu Xuan,Preservation,Quantum,She Already Shut Her Eyes,1.3
Jingliu,Destruction,Ice,I Shall Be My Own Sword,1.4
Topaz & Numby,The Hunt,Fire,"Worrisome, Blissful",1.4
Huohuo,Abundance,Wind,Night of Fright,1.5
Argenti,Erudition,Physical,An Instant Before A Gaze,1.5
Ruan Mei,Harmony,Ice,Past Self in Mirror,1.6
"Dr, Ratio",The Hunt,Imaginary,Baptism of Pure Thought,1.6
Black Swan,Nihility,Wind,Reforged Remembrance,2.0
Sparkle,Harmony,Quantum,Earthly Escapade,2.0
Acheron,Nihility,Lightning,Along the Passing Shore,2.1
Aventurine,Preservation,Imaginary,Inherently Unjust Destiny,2.1
Boothill,The Hunt,Physical,Flowing Nightglow,2.2
Robin,Harmony,Physical,Sailing Towards a Second Life,2.2
Firefly,Destruction,Fire,Whereabouts Should Dreams Rest,2.3
Jade,Erudition,Quantum,Yet Hope Is Priceless,2.3
Yunli,Destruction,Physical,Dance at Sunset,2.4
Jiaoqiu,Nihility,Fire,Those Many Springs,2.4
Feixiao,The Hunt,Wind,I Venture Forth to Hunt,2.5
Lingsha,Abundance,Fire,Scent Alone Stays True,2.5
Rappa,Erudition,Imaginary,Ninjutsu Inscription: Dazzling Evilbreaker,2.6
Sunday,Harmony,Imaginary,A Grounded Ascent,2.7
Fugue,Nihility,Fire,Long Road Leads Home,2.7
The Herta,Erudition,Ice,Into the Unreachable Veil,3.0
Aglaea,Remembrance,Lightning,Time Woven into Gold,3.0
Tribbie,Harmony,Quantum,If Time Were a Flower,3.1
Mydei,Destruction,Imaginary,"Flame of Blood, Blaze My Path",3.1
Castorice,Remembrance,Quantum,Make Farewells More Beautiful,3.2
Anaxa,Erudition,Wind,Life Should Be Cast to Flames,3.2
